euribor3m,y,y
0.634,no,2
0.634,yes,6
0.635,no,21
0.635,yes,22
0.636,no,11
0.636,yes,3
0.637,no,1
0.637,yes,5
0.638,no,2
0.638,yes,5
0.639,no,5
0.639,yes,11
0.64,no,5
0.64,yes,5
0.642,no,18
0.642,yes,17
0.643,no,12
0.643,yes,11
0.644,no,14
0.644,yes,24
0.645,no,15
0.645,yes,11
0.646,no,26
0.646,yes,23
0.649,no,4
0.649,yes,6
0.65,no,8
0.65,yes,4
0.651,no,4
0.651,yes,3
0.652,no,8
0.652,yes,27
0.653,no,6
0.653,yes,13
0.654,no,7
0.654,yes,13
0.655,no,10
0.655,yes,24
0.659,no,5
0.659,yes,10
0.663,no,7
0.663,yes,4
0.668,no,9
0.668,yes,9
0.672,no,9
0.672,yes,7
0.677,no,5
0.677,yes,7
0.682,no,19
0.682,yes,20
0.683,no,3
0.683,yes,11
0.684,no,6
0.684,yes,10
0.685,no,4
0.685,yes,5
0.688,yes,3
0.69,no,1
0.69,yes,2
0.692,no,5
0.692,yes,5
0.695,no,3
0.695,yes,7
0.697,no,4
0.697,yes,19
0.699,no,14
0.699,yes,14
0.7,no,4
0.7,yes,1
0.701,no,8
0.701,yes,3
0.702,no,13
0.702,yes,9
0.704,no,2
0.704,yes,5
0.706,no,7
0.706,yes,11
0.707,no,15
0.707,yes,11
0.708,no,2
0.708,yes,4
0.709,no,4
0.709,yes,4
0.71,no,5
0.71,yes,4
0.711,no,3
0.711,yes,1
0.712,no,6
0.712,yes,4
0.713,no,7
0.713,yes,2
0.714,no,66
0.714,yes,73
0.715,no,50
0.715,yes,85
0.716,no,32
0.716,yes,22
0.717,no,11
0.717,yes,7
0.718,no,13
0.718,yes,5
0.719,no,27
0.719,yes,3
0.72,no,31
0.72,yes,47
0.721,no,2
0.721,yes,4
0.722,no,45
0.722,yes,29
0.723,no,4
0.723,yes,6
0.724,no,18
0.724,yes,5
0.727,no,2
0.727,yes,3
0.728,no,19
0.728,yes,16
0.729,no,5
0.729,yes,8
0.73,no,10
0.73,yes,14
0.731,no,12
0.731,yes,3
0.732,no,4
0.732,yes,2
0.733,no,5
0.733,yes,13
0.735,no,8
0.735,yes,13
0.737,no,12
0.737,yes,13
0.739,no,56
0.739,yes,26
0.74,no,32
0.74,yes,13
0.741,no,22
0.741,yes,5
0.742,no,49
0.742,yes,19
0.743,no,10
0.743,yes,7
0.744,no,12
0.744,yes,5
0.748,no,7
0.748,yes,5
0.749,no,1
0.749,yes,1
0.75,no,5
0.75,yes,2
0.752,no,4
0.752,yes,1
0.753,no,5
0.753,yes,2
0.754,no,27
0.754,yes,17
0.755,no,1
0.755,yes,6
0.761,no,11
0.761,yes,11
0.762,no,1
0.762,yes,3
0.766,no,2
0.766,yes,1
0.767,no,7
0.767,yes,10
0.768,no,9
0.768,yes,4
0.77,no,7
0.77,yes,13
0.771,no,5
0.771,yes,1
0.773,no,12
0.773,yes,10
0.778,no,3
0.778,yes,4
0.781,no,12
0.781,yes,9
0.782,no,8
0.782,yes,3
0.788,no,7
0.788,yes,13
0.79,no,4
0.79,yes,7
0.793,no,6
0.793,yes,3
0.797,no,21
0.797,yes,17
0.802,no,2
0.802,yes,5
0.803,no,22
0.803,yes,9
0.809,no,14
0.809,yes,7
0.81,no,9
